"CODES NC
2020";LIBELLES AUTOSUFFISANTS NC 2020 (fichier DSECE);"CREATIONS (1)
MODIFICATIONS (2)"
0207 44 51;Poitrines et morceaux de poitrines, non désossés, de canards domestiques, frais ou réfrigérés;
0207 44 61;Cuisses et morceaux de cuisses, non désossés, de canards domestiques, frais ou réfrigérés;
0207 44 71;Paletots, non désossés, de canards domestiques, frais ou réfrigérés;
0207 44 81;Morceaux, non désossés, de canards domestiques, n.d.a., frais ou réfrigérés;
0207 44 91;Foies de canards domestiques, frais ou réfrigérés (à l’excl. des foies gras);
0207 44 99;Abats comestibles de canards domestiques, frais ou réfrigérés (à l'excl. des foies);
0207 45;Morceaux et abats comestibles de canards domestiques, congelés;
0207 45 10;Morceaux désossés de canards domestiques, congelés;
0207 45 21;Demis ou quarts de canards domestiques, congelés;
0207 45 31;Ailes entières de canards domestiques, congelées;
0207 45 41;Dos, cous, dos avec cous, croupions ou pointes d’ailes, de canards domestiques, congelés;
0207 45 51;Poitrines et morceaux de poitrines, non désossés, de canards domestiques, congelés;
0207 45 61;Cuisses et morceaux de cuisses, non désossés, de canards domestiques, congelés;
0207 45 71;Paletots, non désossés, de canards domestiques, congelés;
0207 45 81;Morceaux, non désossés, de canards domestiques, congelés, n.d.a.;
0207 45 93;Foies gras de canards domestiques, congelés;
0207 45 95;Foies de canards domestiques, congelés (à l'excl. des foies gras);
0207 45 99;Abats comestibles de canards domestiques, congelés (à l'excl. des foies);
0207 51;Oies domestiques, non découpées en morceaux, fraîches ou réfrigérées;
0207 51 10;Oies domestiques, présentées plumées, saignées, non vidées, avec la tête et les pattes, dénommées [oies 82 %], non découpées en morceaux, fraîches ou réfrigérées;
0207 51 90;Oies domestiques, présentées plumées, vidées, sans la tête ni les pattes, avec ou sans le cœur et le gésier, dénommées [oies 75 %], ou autrement présentées, non découpées en morceaux, fraîches ou réfrigérées;
0207 52;Oies domestiques, non découpées en morceaux, congelées;
0207 52 10;Oies domestiques, présentées plumées, saignées, non vidées, avec la tête et les pattes, dénommées [oies 82 %], non découpées en morceaux, congelées;
0207 52 90;Oies domestiques, présentées plumées, vidées, sans la tête ni les pattes, avec ou sans le cœur et le gésier, dénommées [oies 75 %], ou autrement présentées, non découpées en morceaux, congelées;
0207 53 00;Foies gras d’oies domestiques, frais ou réfrigérés;
0207 54;Morceaux et abats comestibles d'oies domestiques, frais ou réfrigérés (à l'excl. des foies gras);
0207 54 10;Morceaux désossés d’oies domestiques, frais ou réfrigérés;
0207 54 21;Demis ou quarts d’oies domestiques, frais ou réfrigérés;
0207 54 31;Ailes entières d'oies domestiques, fraîches ou réfrigérées;
0207 54 41;Dos, cous, dos avec cous, croupions ou pointes d’ailes, d'oies domestiques, frais ou réfrigérés;
0207 54 51;Poitrines et morceaux de poitrines, non désossés, d’oies domestiques, frais ou réfrigérés;
0207 54 61;Cuisses et morceaux de cuisses, non désossés, d’oies domestiques, frais ou réfrigérés;
0207 54 71;Paletots, non désossés, d'oies domestiques, frais ou réfrigérés;
0207 54 81;Morceaux, non désossés, d’oies domestiques, frais ou réfrigérés, n.d.a.;
0207 54 91;Foies d’oies domestiques, frais ou réfrigérés (à l’excl. des foies gras);
0207 54 99;Abats comestibles d'oies domestiques, frais ou réfrigérés (à l'excl. des foies);
0207 55;Morceaux et abats comestibles d'oies domestiques, congelés;
0207 55 10;Morceaux désossés d’oies domestiques, congelés;
0207 55 21;Demis ou quarts d’oies domestiques, congelés;
0207 55 31;Ailes entières d'oies domestiques, congelées;
0207 55 41;Dos, cous, dos avec cous, croupions ou pointes d’ailes, d’oies domestiques, congelés;
0207 55 51;Poitrines et morceaux de poitrines, non désossés, d’oies domestiques, congelés;
0207 55 61;Cuisses et morceaux de cuisses, non désossés, d’oies domestiques, congelés;
0207 55 71;Paletots, non désossés, d'oies domestiques, congelés;
0207 55 81;Morceaux, non désossés, d'oies domestiques, congelés, n.d.a.;
0207 55 93;Foies gras d’oies domestiques, congelés;
0207 55 95;Foies d'oies domestiques, congelés (à l'excl. des foies gras);
0207 55 99;Abats comestibles d'oies domestiques, congelés (à l'excl. des foies);
0207 60;Viandes et abats comestibles de pintades, frais, réfrigérés ou congelés;
0207 60 05;Pintades domestiques, non découpées en morceaux, fraîches, réfrigérées ou congelées;
0207 60 10;Morceaux désossés de pintades domestiques, frais, réfrigérés ou congelés;
0207 60 21;Demis ou quarts de pintades domestiques, frais, réfrigérés ou congelés;
0207 60 31;Ailes entières de pintades domestiques, fraîches, réfrigérées ou congelées;
0207 60 41;Dos, cous, dos avec cous, croupions ou pointes d’ailes de pintades domestiques, frais, réfrigérés ou congelés;
0207 60 51;Poitrines et morceaux de poitrines, non désossés, de pintades domestiques, frais, réfrigérés ou congelés;
0207 60 61;Cuisses et morceaux de cuisses, non désossés, de pintades domestiques, frais, réfrigérés ou congelés;
0207 60 81;Morceaux, non désossés, de pintades domestiques, frais, réfrigérés ou congelés, n.d.a.;
0207 60 91;Foies de pintades domestiques, frais, réfrigérés ou congelés;
0207 60 99;Abats comestibles de pintades domestiques, frais, réfrigérés ou congelés (à l’excl. des foies);
0208;Viandes et abats comestibles frais, réfrigérés ou congelés de lapin, de lièvre, de pigeon et d'autres espèces animales (à l'excl. des viandes et abats d'animaux des espèces bovine, porcine, ovine, caprine, chevaline, asine ou mulassière, ainsi que des viandes et abats de coq, de poule, de canard, d'oie, de dindon, de dinde et de pintade des espèces domestiques);
0208 10;Viandes et abats comestibles de lapins ou de lièvres, frais, réfrigérés ou congelés;
0208 10 10;Viandes et abats comestibles de lapins domestiques, frais, réfrigérés ou congelés;
0208 10 90;Viandes et abats comestibles de lapins des espèces non domestiques ou de lièvres, frais, réfrigérés ou congelés;
0208 30 00;Viandes et abats comestibles de primates, frais, réfrigérés ou congelés;
0208 40;Viandes et abats comestibles de baleines, dauphins et marsouins (mammifères de l'ordre des cétacés), de lamantins et dugongs (mammifères de l'ordre des siréniens), d'otaries et phoques, lions de mer et morses (mammifères du sous-ordre des pinnipèdes), frais, réfrigérés ou congelés;
0208 40 10;Viandes de baleines, fraîches, réfrigérées ou congelées;
0208 40 20;Viandes d'otaries et phoques, fraîches, réfrigérées ou congelées;
0208 40 80;Viandes et abats comestibles de baleines, dauphins et marsouins (mammifères de l'ordre des cétacés), de lamantins et dugongs (mammifères de l'ordre des siréniens), d'otaries et phoques, lions de mer et morses (mammifères du sous-ordre des pinnipèdes), frais, réfrigérés ou congelés (à l'exclusion de la viande de baleines et de la viande d'otaries et phoques);
0208 50 00;Viandes et abats comestibles de reptiles [p.ex. serpents, tortues, crocodiles], frais, réfrigérés ou congelés;
0208 60 00;Viandes et abats comestibles de chameaux et d'autres camélidés (Camélidés), frais, réfrigérés ou congelés;
0208 90;Viandes et abats comestibles de pigeons, gibier, rennes et autres espèces animales, frais, réfrigérés ou congelés (à l’excl. des viandes et abats d’animaux des espèces bovine, porcine, ovine, caprine, chevaline, asine ou mulassière, des viandes et abats de coqs, poules, canards, oies, dindons, dindes et pintades [des espèces domestiques], de lapins et lièvres, et des viandes et abats de primates, de baleines, dauphins et marsouins [mammifères de l’ordre des cétacés], de lamantins et dugongs [mammifères de l’ordre des siréniens], d'otaries et phoques, lions de mer et morses [mammifères du sous-ordre des pinnipèdes], ainsi que de reptiles);
0208 90 10;Viandes et abats comestibles de pigeons [des espèces domestiques], frais, réfrigérés ou congelés;
0208 90 30;Viandes et abats comestibles de gibier, frais, réfrigérés ou congelés (à l'excl. des viandes et abats de lapins, de lièvres ou de sanglier);
0208 90 60;Viandes et abats comestibles de rennes, frais, réfrigérés ou congelés;
0208 90 70;Cuisses de grenouilles, fraîches, réfrigérées ou congelées;
0208 90 98;Viandes et abats comestibles, frais, réfrigérés ou congelés (à l’excl. des viandes et abats d'animaux des espèces bovine, porcine, ovine, caprine, chevaline, asine ou mulassière, des viandes et abats de volailles domestiques, de lapins et lièvres, de primates, de baleines, dauphins et marsouins [mammifères de l’ordre des cétacés], de lamantins et dugongs [mammifères de l’ordre des siréniens], d'otaries et phoques, lions de mer et morses [mammifères du sous-ordre des pinnipèdes], de reptiles, de pigeons domestiques, de gibier, de rennes ainsi que des cuisses de grenouille);
0209;Lard sans parties maigres, graisse de porc et graisse de volailles non-fondues ni autrement extraites, frais, réfrigérés, congelés, salés ou en saumure, séchés ou fumés;
0209 10;Lard de porc sans parties maigres, graisse de porc non fondue ni autrement extraite, frais, réfrigérés, congelés, salés ou en saumure, séchés ou fumés;
0209 10 11;Lard de porc sans parties maigres, frais, réfrigéré, congelé, salé ou en saumure;
0209 10 19;Lard de porc sans parties maigres, séché ou fumé;
0209 10 90;Graisse de porc sans parties maigres, non fondue ni autrement extraite, fraîche, réfrigérée, congelée, salée ou en saumure, séchée ou fumée (à l'excl. du lard);
0209 90 00;Graisse de volailles non fondue ni autrement extraite, fraîche, réfrigérée, congelée, salée ou en saumure, séchée ou fumée;
0210;"Viandes et abats comestibles, salés ou en saumure, séchés ou fumés; farines et poudres, comestibles, de viandes ou d'abats";
0210 11;Jambons, épaules et leurs morceaux, non-désossés, de porcins, salés ou en saumure, séchés ou fumés;
0210 11 11;Jambons et morceaux de jambons, non désossés, de porcins [des espèces domestiques], salés ou en saumure;
0210 11 19;Épaules et morceaux d'épaules, non désossés, de porcins [des espèces domestiques], salés ou en saumure;
0210 11 31;Jambons et morceaux de jambons, non désossés, de porcins [des espèces domestiques], séchés ou fumés;
0210 11 39;Épaules et morceaux d'épaules, non désossés, de porcins [des espèces domestiques], séchés ou fumés;
0210 11 90;Jambons, épaules et morceaux de jambons et d'épaules, non-désossés, de porcins des espèces non-domestiques, salés ou en saumure, séchés ou fumés;
0210 12;Poitrines [entrelardés] et morceaux de poitrines, de porcins, salés ou en saumure, séchés ou fumés;
0210 12 11;Poitrines [entrelardés] et morceaux de poitrines, de porcins [des espèces domestiques], salés ou en saumure;
0210 12 19;Poitrines [entrelardés] et morceaux de poitrines, de porcins [des espèces domestiques], séchés ou fumés;
0210 12 90;Poitrines [entrelardés] et morceaux de poitrines, de porcins des espèces non domestiques, salés ou en saumure, séchés ou fumés;
0210 19;Viandes de porcins, salées ou en saumure, séchées ou fumées (à l'excl. des jambons, épaules et leurs morceaux, non-désossés, ainsi que des poitrines [entrelardés] et leurs morceaux);
0210 19 10;Demi-carcasses de bacon ou trois-quarts avant, de porcins [des espèces domestiques], salés ou en saumure;
0210 19 20;Trois-quarts arrière ou milieux, de porcins [des espèces domestiques], salés ou en saumure;
0210 19 30;Parties avant et morceaux de parties avant, de porcins [des espèces domestiques], salés ou en saumure;
0210 19 40;Longes et morceaux de longes, de porcins [des espèces domestiques], salés ou en saumure;
0210 19 50;Viandes de porcins [des espèces domestiques], salées ou en saumure (à l'excl. des jambons, épaules et leurs morceaux, des poitrines [entrelardés] et leurs morceaux, des demi-carcasses de bacon ou trois-quarts avant, des trois-quarts arrière ou milieux, des parties avant et leurs morceaux ainsi que des longes et leurs morceaux);
0210 19 60;Parties avant et morceaux de parties avant, de porcins [des espèces domestiques], séchés ou fumés;
0210 19 70;Longes et morceaux de longes, de porcins [des espèces domestiques], séchés ou fumés;
0210 19 81;Viandes désossées de porcins [des espèces domestiques], séchées ou fumées (à l'excl. des poitrines [entrelardés] et leurs morceaux);
0210 19 89;Viandes non désossées de porcins [des espèces domestiques], séchées ou fumées (à l'excl. des jambons, épaules et leurs morceaux, des poitrines [entrelardés] et leurs morceaux, des parties avant et leurs morceaux ainsi que des longes et leurs morceaux);
0210 19 90;Viandes de porcins des espèces non domestiques, salées ou en saumure, séchées ou fumées (à l'excl. des jambons, épaules et leurs morceaux, non désossés, ainsi que des poitrines [entrelardés] et leurs morceaux);
0210 20;Viandes de bovins, salées ou en saumure, séchées ou fumées;
0210 20 10;Viandes non désossées de bovins, salées ou en saumure, séchées ou fumées;
0210 20 90;Viandes désossées de bovins, salées ou en saumure, séchées ou fumées;
0210 91 00;"Viandes et abats comestibles, salés ou en saumure, séchés ou fumés; farines et poudres, comestibles, de viandes et d'abats, de primates";
0210 92;Viandes et abats comestibles de baleines, dauphins et marsouins (mammifères de l'ordre des cétacés), de lamantins et dugongs (mammifères de l'ordre des siréniens), d'otaries et phoques, lions de mer et morses (mammifères du sous-ordre des pinnipèdes), salés ou en saumure, séchés ou fumés, y.c. les farines et poudres, comestibles, de viandes ou d'abats;
